"id","Book","Authors","Original_language","First_published","Approximate_sales_in_millions","Genre"
84,Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel
85,All Quiet on the Western Front (Im Westen nichts Neues),Erich Maria Remarque,German,1929,20,War novel
86,The Bermuda Triangle,Charles Berlitz,English,1974,20,""
87,Things Fall Apart ,Chinua Achebe,English,1958,20,Novel
88,Animal Farm ,George Orwell,English,1945,20,"Satirical allegorical novella, Political satire, Dystopian Fiction, Roman à clef"
89,Wolf Totem (狼图腾),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel
90,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir
91,Jaws,Peter Benchley,English,1974,20,Thriller
92,Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction"
93,The Women's Room,Marilyn French,English,1977,20,Feminist novel
94,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide
95,Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade"
96,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel
97,Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance"
98,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature
99,The Good Soldier Švejk (Osudy dobrého vojáka Švejka za světové války),Jaroslav Hašek,Czech,1923,20,Unfinished satirical dark comedy novel
100,Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book
101,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help
102,The Secret,Rhonda Byrne,English,2006,20,Self-help
103,Fear of Flying,Erica Jong,English,1973,20,Romantic novel
104,Dune,Frank Herbert,English,1965,20,Science fiction novel
105,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel
106,The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology"
